response,feedback_type,contrast_right,contrast_left,response_time,mouse,session,contrast_diff,contrast_diff_abs,condition
1.0,1.0,0.0,1.0,1.150203632659725,Cori,1,-1.0,1.0,go
-1.0,1.0,0.5,0.0,1.3995028681981267,Cori,1,0.5,0.5,go
1.0,1.0,0.5,1.0,0.9492910453999315,Cori,1,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.2668016723032736,Cori,1,0.0,0.0,no_go
1.0,-1.0,1.0,0.5,0.8167758372132141,Cori,1,0.5,0.5,go
1.0,-1.0,0.0,0.0,1.5171069485727458,Cori,1,0.0,0.0,no_go
-1.0,-1.0,0.0,0.0,1.1332104261406926,Cori,1,0.0,0.0,no_go
-1.0,-1.0,0.0,0.0,1.3498310443284538,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.097125081408876,Cori,1,0.0,0.0,no_go
1.0,1.0,0.5,1.0,1.2496675585173875,Cori,1,-0.5,0.5,go
1.0,1.0,0.0,0.5,0.8501255151421958,Cori,1,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.687117715347199,Cori,1,0.0,0.0,no_go
1.0,1.0,0.25,0.5,1.116563838199312,Cori,1,-0.25,0.25,go
1.0,1.0,0.0,1.0,1.3331855186736163,Cori,1,-1.0,1.0,go
1.0,1.0,0.0,0.5,1.1661673721104933,Cori,1,-0.5,0.5,go
-1.0,1.0,1.0,0.0,0.633554820045731,Cori,1,1.0,1.0,go
0.0,1.0,0.0,0.0,2.2523698198002364,Cori,1,0.0,0.0,no_go
-1.0,-1.0,1.0,1.0,2.2668656420237596,Cori,1,0.0,0.0,go
-1.0,-1.0,0.0,0.0,1.0334353030391412,Cori,1,0.0,0.0,no_go
-1.0,-1.0,0.0,0.0,1.5006859687830172,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.5550032123975086,Cori,1,0.0,0.0,no_go
1.0,-1.0,0.0,0.0,1.116527723039951,Cori,1,0.0,0.0,no_go
1.0,-1.0,0.0,0.0,1.884022170388647,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.4512487668079075,Cori,1,0.0,0.0,no_go
1.0,1.0,0.0,0.5,1.1666419311544018,Cori,1,-0.5,0.5,go
1.0,-1.0,0.0,0.0,1.2000603139414068,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.033225663789665,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.5,0.0,1.2839472235629898,Cori,1,0.5,0.5,go
1.0,1.0,0.25,0.5,1.0007671815763217,Cori,1,-0.25,0.25,go
-1.0,1.0,1.0,0.25,0.650463958218694,Cori,1,0.75,0.75,go
-1.0,1.0,1.0,0.25,1.4664051448459645,Cori,1,0.75,0.75,go
0.0,1.0,0.0,0.0,2.068998628532711,Cori,1,0.0,0.0,no_go
-1.0,-1.0,0.5,1.0,1.2676954489253376,Cori,1,-0.5,0.5,go
1.0,1.0,0.0,0.5,0.9680104621907049,Cori,1,-0.5,0.5,go
-1.0,-1.0,0.0,0.0,1.3167223139488158,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,1.994594699797176,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.0464242068872522,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.25,0.0,1.2171700140547728,Cori,1,0.25,0.25,go
-1.0,1.0,1.0,0.5,1.150416126503444,Cori,1,0.5,0.5,go
1.0,1.0,0.0,0.25,1.2005813730170871,Cori,1,-0.25,0.25,go
1.0,1.0,0.25,1.0,0.5843074453777604,Cori,1,-0.75,0.75,go
-1.0,1.0,0.5,0.0,1.483731566686572,Cori,1,0.5,0.5,go
-1.0,1.0,1.0,0.0,1.083776572339957,Cori,1,1.0,1.0,go
-1.0,-1.0,0.0,0.0,1.6169639292928082,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.024937695229198,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.5,0.0,0.6346807472326077,Cori,1,0.5,0.5,go
-1.0,1.0,1.0,0.0,1.3175076615298167,Cori,1,1.0,1.0,go
1.0,1.0,0.0,0.5,0.850955069663712,Cori,1,-0.5,0.5,go
-1.0,1.0,0.25,0.25,0.6835236078982234,Cori,1,0.0,0.0,go
1.0,1.0,0.0,0.5,1.2182819734871373,Cori,1,-0.5,0.5,go
-1.0,1.0,1.0,0.0,1.970456106585516,Cori,1,1.0,1.0,go
-1.0,-1.0,0.0,0.0,1.1179779693075034,Cori,1,0.0,0.0,no_go
0.0,1.0,0.0,0.0,2.1441926955640156,Cori,1,0.0,0.0,no_go
1.0,1.0,0.25,1.0,1.2339618912998276,Cori,1,-0.75,0.75,go
1.0,1.0,0.5,0.5,0.6346636461833555,Cori,1,0.0,0.0,go
-1.0,1.0,0.5,0.5,1.1342872999651377,Cori,1,0.0,0.0,go
-1.0,1.0,0.25,0.0,1.6677075071315812,Cori,1,0.25,0.25,go
-1.0,1.0,1.0,0.0,1.5501419051244625,Cori,1,1.0,1.0,go
-1.0,1.0,0.5,0.0,0.6837148869740304,Cori,1,0.5,0.5,go
-1.0,-1.0,0.5,0.5,1.301291073068569,Cori,1,0.0,0.0,go
-1.0,1.0,1.0,0.25,1.2015389641854313,Cori,1,0.75,0.75,go
-1.0,1.0,1.0,0.0,1.1507023448261862,Cori,1,1.0,1.0,go
0.0,1.0,0.0,0.0,2.488422920840378,Cori,1,0.0,0.0,no_go
-1.0,1.0,0.5,0.0,1.451037992395868,Cori,1,0.5,0.5,go
1.0,1.0,0.0,1.0,0.7017593306206322,Cori,1,-1.0,1.0,go
-1.0,1.0,0.5,0.0,1.5341051655198044,Cori,1,0.5,0.5,go
-1.0,-1.0,0.25,0.25,1.9847882245683195,Cori,1,0.0,0.0,go
0.0,1.0,0.0,0.0,2.4334618493074913,Cori,1,0.0,0.0,no_go
